"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"e:\Technikorb\safe_meet_alert\lib\common\widgets\custom_button.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"e:\Technikorb\safe_meet_alert\lib\common\widgets\text_field.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 6, 69
"e:\Technikorb\safe_meet_alert\lib\dummy.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\Technikorb\safe_meet_alert\lib\main.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"e:\Technikorb\safe_meet_alert\lib\src\auth\forgetpassword\forgetpassword_view.dart", "Dart", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 3, 6, 127
"e:\Technikorb\safe_meet_alert\lib\src\auth\login\login_view.dart", "Dart", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 3, 6, 170
"e:\Technikorb\safe_meet_alert\lib\src\auth\register screen\register.dart", "Dart", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 3, 6, 147
"e:\Technikorb\safe_meet_alert\lib\src\auth\resetpassword\resetpassword_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 5, 115
"e:\Technikorb\safe_meet_alert\lib\src\auth\security pin setup\security_pin_setup.dart", "Dart", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 20, 7, 150
"e:\Technikorb\safe_meet_alert\lib\src\auth\signup\signup_view.dart", "Dart", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 3, 6, 148
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\bottom_sheet.dart", "Dart", 0, 0, 0, 276, 0, 0, 0, 0, 0, 0, 27, 7, 310
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\hosted_and_shared.dart", "Dart", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 7, 115
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\hosted_meetings\all.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\hosted_meetings\completed.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\hosted_meetings\compromised.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\hosted_meetings\hosted_meetings.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 5, 68
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\hosted_meetings\in_progress.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\meeting_container.dart", "Dart", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 5, 4, 108
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\shared meetings\add_meeting_container.dart", "Dart", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 1, 4, 154
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\shared meetings\shared_meeting_container.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 5, 6, 93
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\Hosted_and_Shared\shared meetings\shared_meetings.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\audio_recordings\audio_recordings.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 6, 56
"e:\Technikorb\safe_meet_alert\lib\src\main user as contact\audio_recordings\audion_recording_container.dart", "Dart", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 6, 4, 147
